time,status,latency_seconds,status_code
1789799084.583168,success,0.004,200
1789799085.5872283,success,0.002,200
1789799086.5891235,success,0.002,200
1789799087.591289,success,0.001,200
1789799088.592628,success,0.001,200
1789799089.5940156,success,0.001,200
1789799090.5955796,success,0.001,200
1789799091.597154,success,0.001,200
1789799092.5979755,success,0.001,200
1789799093.5992117,success,0.001,200
1789799094.6006856,success,0.002,200
1789799095.6025662,success,0.001,200
1789799096.6035724,success,0.001,200
1789799097.6046085,success,0.001,200
1789799098.6056414,success,0.001,200
1789799099.6072476,success,0.001,200
1789799100.6085093,success,0.001,200
1789799101.6100187,success,0.001,200
1789799102.6112366,success,0.001,200
1789799103.6128042,success,0.001,200
1789799104.6139922,failure,5.005,
1789799110.6197727,failure,5.006,
1789799116.6263652,failure,5.006,
1789799122.633141,failure,5.005,
1789799128.6390007,failure,5.006,
1789799134.6451857,failure,5.005,
1789799140.6508572,failure,5.006,
1789799146.6574676,failure,5.006,
1789799152.6636007,failure,5.006,
1789799158.6701047,failure,5.006,
1789799164.6765115,success,0.001,200
1789799165.6776671,success,0.001,200
1789799166.6791353,success,0.001,200
1789799167.680823,success,0.001,200
1789799168.682615,success,0.001,200
1789799169.6842709,success,0.001,200
1789799170.6855307,success,0.001,200
1789799171.6872172,success,0.001,200
1789799172.6891346,success,0.001,200
1789799173.6907191,success,0.001,200
1789799174.692588,success,0.001,200
1789799175.6947405,success,0.001,200
1789799176.6967008,success,0.001,200
1789799177.6983712,success,0.001,200
1789799178.700032,success,0.001,200
1789799179.7014315,success,0.001,200
1789799180.703325,success,0.001,200
1789799181.7049952,success,0.002,200
1789799182.7068083,success,0.001,200
1789799183.7079852,success,0.001,200
1789799184.7090802,success,0.002,200
1789799185.7112978,success,0.001,200
1789799186.7130258,success,0.001,200
1789799187.7147322,success,0.001,200
1789799188.716533,success,0.001,200
1789799189.7182858,success,0.001,200
1789799190.7197182,success,0.001,200
1789799191.720946,success,0.001,200
1789799192.7222764,success,0.001,200
1789799193.7238574,success,0.001,200
