time,busy_workers,idle_workers,open_connections,cpu_pct,mem_pct
1789799084.6250846,1,9,0,20.0,70.9
1789799085.653805,1,9,0,25.1,71.1
1789799086.6618416,1,9,0,24.0,70.0
1789799087.6707191,1,9,0,18.9,70.1
1789799088.6769168,1,9,0,9.8,69.8
1789799089.6827288,1,9,0,8.4,69.8
1789799090.6895087,1,9,0,17.2,69.8
1789799091.6956701,1,9,0,8.4,69.5
1789799092.702902,1,9,0,8.8,69.4
1789799093.713035,1,9,0,14.0,69.4
1789799094.7199645,1,9,0,13.4,69.4
1789799095.727482,1,9,0,27.1,70.2
1789799096.7349355,1,9,0,15.5,70.8
1789799097.7413042,1,9,0,15.5,71.8
1789799098.7498822,1,9,0,18.6,71.8
1789799099.7564213,1,9,0,22.3,73.0
1789799100.7627861,1,9,0,22.3,73.6
1789799101.7721803,1,9,0,21.2,74.0
1789799102.7792432,1,9,0,10.6,74.2
1789799103.7871299,1,9,0,9.2,73.9
1789799104.794482,,,204,12.6,67.9
1789799108.8069906,,,208,11.0,67.8
1789799112.8177428,,,210,14.6,69.5
1789799116.8299456,,,214,6.0,69.1
1789799120.8421907,,,218,6.7,68.9
1789799124.8543677,,,220,4.5,69.0
1789799128.8648787,,,224,18.4,69.5
1789799132.8765028,,,228,21.3,71.2
1789799136.8886774,,,230,13.1,71.4
1789799140.9006677,,,234,13.4,71.5
1789799144.910417,,,238,23.8,71.7
1789799148.9222615,,,240,19.6,71.4
1789799152.9328222,,,244,6.5,71.1
1789799156.9451084,,,248,3.9,68.8
1789799160.9578943,,,250,1.8,68.6
1789799164.9702687,1,29,0,2.2,68.5
1789799165.9789932,2,28,0,3.2,68.6
1789799166.985785,2,27,0,1.5,68.5
1789799167.9946918,2,26,0,0.7,68.4
1789799169.0033572,2,25,0,0.6,68.4
1789799170.0125437,2,24,0,1.2,68.4
1789799171.0215366,2,23,0,1.4,68.3
1789799172.030537,2,22,0,6.2,68.3
1789799173.0397508,2,21,0,0.8,68.1
1789799174.049018,2,20,0,0.7,68.1
1789799175.058251,2,19,0,0.9,68.1
1789799176.0673685,2,18,0,1.1,68.1
1789799177.075398,2,17,0,0.7,68.1
1789799178.0835881,2,16,0,0.8,68.1
1789799179.092427,2,15,0,0.7,68.1
1789799180.101029,2,14,0,0.8,68.1
1789799181.1096578,2,13,0,1.4,68.1
1789799182.1177673,2,12,0,4.9,68.1
1789799183.124071,2,11,0,10.8,68.3
1789799184.130588,2,10,0,19.1,68.5
1789799185.1366885,2,9,0,24.9,68.6
1789799186.145006,1,9,0,2.9,68.3
1789799187.1535497,1,9,0,0.9,68.3
1789799188.1622126,1,9,0,0.9,68.3
1789799189.1711514,1,9,0,0.7,68.3
1789799190.1788769,1,9,0,1.7,68.3
1789799191.186371,1,9,0,8.5,68.3
1789799192.1943624,1,9,0,15.8,68.5
1789799193.2017179,1,9,0,16.5,68.4
1789799194.2091959,1,9,0,6.2,68.4
