n,time_to_saturation_s,attack_success_pct,attack_avg_latency_s,attack_max_busy_workers,attack_max_open_conns
20,0.24663376808166504,100.0,0.091,23.0,45.0
50,0.250093936920166,0.0,5.005,None,150.0
100,0.24263644218444824,0.0,5.006,None,250.0
200,0.2509946823120117,9.1,4.551,None,450.0
