time,busy_workers,idle_workers,open_connections,cpu_pct,mem_pct
1789800477.242026,1,4,0,9.4,73.1
1789800478.2685237,1,4,0,1.7,73.3
1789800479.2782075,1,4,0,0.9,73.3
1789800480.2866325,1,4,0,1.4,73.3
1789800481.294819,1,4,0,1.3,73.3
1789800482.3030367,1,4,0,0.5,73.3
1789800483.3117034,1,4,0,1.1,73.4
1789800484.320494,1,4,0,2.9,73.4
1789800485.329421,1,4,0,1.2,73.1
1789800486.338128,1,4,0,1.0,73.1
1789800487.3467822,1,4,0,0.7,73.1
1789800488.3555686,1,4,0,0.5,73.1
1789800489.3637788,1,4,0,0.6,73.1
1789800490.372445,1,4,0,0.5,73.0
1789800491.3809972,1,4,0,1.3,73.0
1789800492.3895319,1,4,0,0.7,73.0
1789800493.398278,1,4,0,0.7,73.0
1789800494.4067087,1,4,0,0.7,73.1
1789800495.414943,1,4,0,0.6,73.1
1789800496.4234955,1,4,0,1.2,73.1
1789800497.4323559,12,0,20,1.0,73.2
1789800501.2123485,11,9,21,1.2,73.2
1789800502.220169,11,9,20,0.7,73.2
1789800503.2289739,11,9,20,0.7,73.3
1789800504.237994,11,9,20,0.7,73.3
1789800505.2475388,11,9,20,0.6,73.3
1789800506.256682,11,9,20,1.0,73.3
1789800507.2649324,11,9,20,4.1,73.3
1789800508.2712758,11,9,20,8.0,73.3
1789800509.2799678,11,9,20,0.9,73.3
1789800510.289228,7,13,20,0.7,73.3
1789800511.298257,6,13,20,1.2,73.3
1789800512.3073804,4,14,20,0.7,73.3
1789800513.3162148,2,15,20,0.6,73.2
1789800514.3247,2,14,20,0.7,73.2
1789800515.3330252,2,13,20,3.4,73.1
1789800516.3405876,2,12,20,18.1,73.0
1789800517.3471153,2,11,20,14.7,73.0
1789800518.355556,2,10,20,6.4,73.1
1789800519.3644679,2,9,20,0.9,73.1
1789800520.3735082,1,9,20,0.6,73.1
1789800521.3818178,1,9,20,1.1,73.1
1789800522.390289,1,9,20,1.3,73.1
1789800523.3993425,1,9,20,0.6,73.1
1789800524.4079452,1,9,20,3.6,73.1
1789800525.418696,1,9,20,7.8,73.0
1789800526.426292,1,9,20,3.0,73.0
1789800527.4344149,1,9,20,3.4,73.0
1789800528.4420779,1,9,20,3.3,73.0
1789800529.4505026,1,9,20,4.2,73.0
1789800530.459702,1,9,20,1.8,73.0
1789800531.4682915,1,9,20,1.4,73.0
1789800532.476595,1,9,20,2.5,73.0
1789800533.4856277,1,9,20,2.1,73.0
1789800534.4936137,1,9,20,2.6,72.9
1789800535.5018966,1,9,20,2.9,72.9
1789800536.5108554,1,9,20,2.4,72.9
1789800537.5195441,1,9,20,2.7,72.9
1789800538.5277538,1,9,20,3.3,72.9
1789800539.5366669,1,9,20,4.3,72.9
1789800540.5436535,1,9,20,3.2,72.9
1789800541.5523665,1,9,20,14.3,73.0
1789800542.5599883,1,9,20,2.9,73.0
1789800543.5693514,1,9,20,5.8,73.1
1789800544.5774033,1,9,20,3.0,73.1
1789800545.5862815,1,9,20,3.5,73.3
1789800546.5929086,1,9,20,7.3,73.3
1789800547.6009116,1,9,20,5.2,73.6
1789800548.608374,1,9,20,3.7,73.6
1789800549.6148496,1,9,20,2.9,73.6
1789800550.6231034,1,9,20,0.7,73.7
1789800551.6319728,1,9,20,1.2,73.6
1789800552.6408703,1,9,20,10.4,73.7
1789800553.6492608,1,9,20,0.9,73.7
1789800554.657831,1,9,20,3.1,73.5
1789800555.6663606,1,9,20,6.2,73.6
1789800556.6743665,1,9,20,7.8,73.7
1789800557.682797,1,9,10,3.7,73.6
1789800558.6916904,1,9,10,1.6,73.6
1789800559.7006245,1,9,10,0.9,73.6
1789800560.7095487,1,9,10,0.7,73.6
1789800561.7185054,1,9,10,1.2,73.6
1789800562.7272067,1,9,10,0.7,73.6
1789800563.736185,1,9,10,2.8,73.5
1789800564.7452636,1,9,10,0.7,73.5
1789800565.7543004,1,9,10,0.7,73.5
1789800566.7629082,1,9,10,1.3,73.3
1789800567.7711513,1,9,10,0.7,73.3
1789800568.780287,1,9,10,0.8,73.3
1789800569.7887762,1,9,10,0.7,73.3
1789800570.797224,1,9,10,1.1,73.3
1789800571.8055036,1,9,10,1.3,73.4
1789800572.8147078,1,9,10,0.6,73.4
1789800573.8238027,1,9,10,0.8,73.3
1789800574.8327432,1,9,10,0.7,73.3
1789800575.8415084,1,9,10,0.9,73.3
1789800576.8502479,1,9,10,1.4,73.3
1789800577.8591094,1,9,10,0.7,73.3
1789800578.8676882,1,9,10,0.6,73.3
1789800579.8762057,1,9,10,0.8,73.3
1789800580.8845036,1,9,10,0.9,73.3
1789800581.8933399,1,9,10,1.2,73.3
1789800582.9021869,1,9,10,0.7,73.3
1789800583.9111798,1,9,10,1.0,73.3
1789800584.9197178,1,9,10,1.3,73.3
1789800585.9302602,1,9,10,1.2,73.1
1789800586.93857,1,9,10,2.0,73.2
