time,status,latency_seconds,status_code
1789798859.0993528,success,0.002,200
1789798860.1018937,success,0.001,200
1789798861.1034992,success,0.002,200
1789798862.105661,success,0.001,200
1789798863.1072118,success,0.001,200
1789798864.1086607,success,0.001,200
1789798865.110368,success,0.001,200
1789798866.1115327,success,0.001,200
1789798867.1129003,success,0.001,200
1789798868.1144042,success,0.001,200
1789798869.1162074,success,0.001,200
1789798870.118127,success,0.001,200
1789798871.119996,success,0.001,200
1789798872.1216412,success,0.001,200
1789798873.1231332,success,0.001,200
1789798874.1247227,success,0.001,200
1789798875.1265733,success,0.001,200
1789798876.128155,success,0.001,200
1789798877.1298897,success,0.001,200
1789798878.1367662,success,0.001,200
1789798879.138541,success,4.034,200
1789798884.1731339,success,0.002,200
1789798885.1753063,success,0.002,200
1789798886.1773403,success,0.002,200
1789798887.179541,success,0.001,200
1789798888.1812496,success,0.001,200
1789798889.182965,success,0.001,200
1789798890.1847832,success,0.001,200
1789798891.186701,success,0.001,200
1789798892.1883364,success,0.001,200
1789798893.1899102,success,0.001,200
1789798894.1915975,success,0.001,200
1789798895.1928885,success,0.001,200
1789798896.1945567,success,0.001,200
1789798897.1963232,success,0.001,200
1789798898.19817,success,0.001,200
1789798899.2000227,success,0.001,200
1789798900.2019978,success,0.001,200
1789798901.208838,success,0.001,200
1789798902.2107382,success,0.001,200
1789798903.2126403,success,0.001,200
1789798904.214414,success,0.001,200
1789798905.2162626,success,0.001,200
1789798906.2173715,success,0.001,200
1789798907.2191048,success,0.001,200
1789798908.2205608,success,0.001,200
1789798909.2277246,success,0.001,200
1789798910.2292356,success,0.001,200
1789798911.2307842,success,0.001,200
1789798912.23196,success,0.001,200
1789798913.2333276,success,0.001,200
1789798914.234991,success,0.001,200
1789798915.2365847,success,0.001,200
1789798916.2381525,success,0.001,200
1789798917.239507,success,0.001,200
1789798918.2407246,success,0.001,200
1789798919.242112,success,0.001,200
1789798920.2434227,success,0.001,200
1789798921.244496,success,0.001,200
1789798922.2508004,success,0.001,200
1789798923.2518618,success,0.001,200
1789798924.2538211,success,0.001,200
1789798925.2555313,success,0.001,200
1789798926.2571158,success,0.001,200
1789798927.2586298,success,0.001,200
1789798928.2598464,success,0.001,200
1789798929.26645,success,0.001,200
1789798930.2680786,success,0.001,200
1789798931.269165,success,0.001,200
1789798932.270371,success,0.001,200
1789798933.2715938,success,0.001,200
1789798934.2731545,success,0.001,200
1789798935.2746494,success,0.001,200
1789798936.2761157,success,0.001,200
1789798937.2773376,success,0.001,200
1789798938.2788157,success,0.001,200
1789798939.2800899,success,0.003,200
1789798940.2839918,success,0.001,200
1789798941.2856145,success,0.001,200
1789798942.2869787,success,0.001,200
1789798943.2882051,success,0.001,200
1789798944.2897325,success,0.002,200
1789798945.2916374,success,0.001,200
1789798946.2930605,success,0.002,200
1789798947.2956996,success,0.002,200
1789798948.2976112,success,0.001,200
1789798949.2991006,success,0.001,200
1789798950.3005302,success,0.002,200
1789798951.3024,success,0.001,200
1789798952.3037286,success,0.001,200
1789798953.3048909,success,0.001,200
1789798954.306117,success,0.002,200
1789798955.3079383,success,0.001,200
1789798956.3091736,success,0.001,200
1789798957.3100846,success,0.002,200
1789798958.3126993,success,0.001,200
1789798959.3141,success,0.001,200
1789798960.315803,success,0.005,200
1789798961.3208218,success,0.001,200
1789798962.322199,success,0.001,200
1789798963.3240168,success,0.001,200
1789798964.325529,success,0.001,200
1789798965.327013,success,0.001,200
1789798966.328865,success,0.001,200
1789798967.33068,success,0.001,200
1789798968.3318348,success,0.001,200
