time,busy_workers,idle_workers,open_connections,cpu_pct,mem_pct
1789801204.8039522,1,9,0,8.8,74.4
1789801205.8317032,1,9,0,1.9,74.5
1789801206.8407316,1,9,0,1.7,74.6
1789801207.8494685,1,9,0,1.0,74.6
1789801208.8579814,1,9,0,0.9,74.5
1789801209.866633,1,9,0,1.2,74.6
1789801210.8748808,1,9,0,3.8,74.7
1789801211.8822143,1,9,0,7.7,74.7
1789801212.8900948,1,9,0,6.9,74.7
1789801213.897133,1,9,0,7.4,74.7
1789801214.9050815,1,9,0,7.6,74.7
1789801215.9120154,1,9,0,6.4,74.8
1789801216.920439,1,9,0,1.3,74.9
1789801217.9295862,1,9,0,0.9,74.9
1789801218.9377072,1,9,0,0.9,74.9
1789801219.9461913,1,9,0,0.8,74.9
1789801220.9541976,1,9,0,1.2,74.8
1789801221.9608517,1,9,0,12.3,74.9
1789801222.9691098,1,9,0,2.3,74.9
1789801223.9766939,1,9,0,1.3,74.9
1789801224.9842918,10,0,18,5.7,74.9
1789801225.9908164,10,1,18,5.3,74.9
1789801226.9966574,10,3,18,3.3,74.9
1789801228.0050964,10,7,18,1.4,74.9
1789801229.0132153,10,7,18,0.9,74.9
1789801230.021462,10,7,18,0.9,74.9
1789801231.02966,10,7,18,1.6,74.8
1789801232.03792,10,7,18,1.2,74.8
1789801233.0459447,10,7,18,1.1,74.8
1789801234.0546083,10,7,18,1.1,74.8
1789801235.062544,10,7,18,0.7,74.8
1789801236.0706203,10,7,18,1.5,74.7
1789801237.0790226,1,16,18,1.1,74.7
1789801238.0874126,2,15,18,0.9,74.7
1789801239.0959182,2,14,18,1.0,74.6
1789801240.104921,2,13,18,1.2,74.6
1789801241.1138744,2,12,18,8.2,74.9
1789801242.1222312,2,11,18,1.6,74.8
1789801243.1306736,2,10,18,0.7,74.7
1789801244.1397245,2,9,18,7.3,74.8
1789801245.1485248,1,9,18,4.8,74.9
1789801246.1569247,1,9,18,1.5,74.8
1789801247.1653957,1,9,18,1.1,74.6
1789801248.1736135,1,9,18,10.9,74.7
1789801249.1799886,1,9,18,8.4,74.6
1789801250.1880307,1,9,18,26.4,74.8
1789801251.194353,1,9,18,7.6,74.8
1789801252.2012308,1,9,18,25.8,74.9
1789801253.206896,1,9,18,8.1,74.8
1789801254.2139983,1,9,18,11.1,74.8
1789801255.2225304,1,9,18,6.7,74.8
1789801256.2305825,1,9,18,1.7,74.8
1789801257.23998,1,9,18,1.2,74.7
1789801258.2489555,1,9,18,0.5,74.7
1789801259.2576337,1,9,18,0.7,74.7
1789801260.266642,1,9,18,0.8,74.7
1789801261.275585,1,9,18,1.0,74.7
1789801262.2842453,1,9,18,0.7,74.7
1789801263.293643,1,9,18,0.9,74.7
1789801264.3021116,1,9,18,0.7,74.7
1789801265.3110383,1,9,18,0.5,74.6
1789801266.3203928,1,9,18,1.2,74.6
1789801267.329412,1,9,18,0.5,74.6
1789801268.338108,1,9,18,0.6,74.6
1789801269.346643,1,9,18,0.5,74.6
1789801270.3555477,1,9,18,0.5,74.6
1789801271.3636034,1,9,18,1.1,74.7
1789801272.3725228,1,9,18,0.7,74.6
1789801273.3811886,1,9,18,0.4,74.6
1789801274.3898578,1,9,18,0.9,74.7
1789801275.398616,1,9,18,0.6,74.7
1789801276.4079034,1,9,18,1.1,74.7
1789801277.4169538,1,9,18,0.4,74.7
1789801278.4265196,1,9,18,0.6,74.7
1789801279.4349036,1,9,18,0.3,74.7
1789801280.4431307,1,9,18,0.7,74.7
1789801281.4522662,1,9,18,1.2,74.8
1789801282.4611742,1,9,18,0.4,74.8
1789801283.4702375,1,9,18,0.6,74.8
1789801284.4790897,1,9,18,0.5,74.8
1789801285.4881182,1,9,9,1.7,74.7
1789801286.4971085,1,9,9,1.6,74.7
1789801287.5053492,1,9,9,0.8,74.7
1789801288.5141895,1,9,9,0.5,74.7
1789801289.522763,1,9,9,0.7,74.7
1789801290.531393,1,9,9,0.6,74.7
1789801291.5404043,1,9,9,1.1,74.7
1789801292.5490358,1,9,9,0.6,74.7
1789801293.557838,1,9,9,0.7,74.7
1789801294.5666056,1,9,9,0.5,74.7
1789801295.5752096,1,9,9,0.5,74.7
1789801296.5845084,1,9,9,0.9,74.7
1789801297.593376,1,9,9,0.6,74.7
1789801298.6015713,1,9,9,0.6,74.7
1789801299.610155,1,9,9,0.5,74.7
1789801300.6188583,1,9,9,0.5,74.7
1789801301.627984,1,9,9,1.0,74.6
1789801302.6367252,1,9,9,0.5,74.6
1789801303.6458547,1,9,9,0.8,74.6
1789801304.6547513,1,9,9,0.6,74.6
1789801305.6637242,1,9,9,0.7,74.6
1789801306.6720135,1,9,9,1.4,74.6
1789801307.6795988,1,9,9,0.7,74.6
1789801308.6887758,1,9,9,0.5,74.6
1789801309.6978874,1,9,9,0.7,74.6
1789801310.7065969,1,9,9,0.7,74.5
1789801311.7143333,1,9,9,0.8,74.5
1789801312.723282,1,9,10,4.4,74.5
1789801313.7322223,1,9,9,0.7,74.5
1789801314.741243,1,9,9,0.6,74.5
