time,busy_workers,idle_workers,open_connections,cpu_pct,mem_pct
1789800719.7785695,1,9,0,9.4,73.3
1789800720.805558,1,9,0,1.6,73.3
1789800721.8145795,1,9,0,1.8,73.3
1789800722.823279,1,9,0,0.7,73.3
1789800723.8317637,1,9,0,0.8,73.3
1789800724.840911,1,9,0,0.7,73.2
1789800725.84993,1,9,0,1.3,73.1
1789800726.8588533,1,9,0,1.4,73.1
1789800727.8675115,1,9,0,0.8,73.1
1789800728.8759878,1,9,0,0.6,73.1
1789800729.8845491,1,9,0,0.7,73.1
1789800730.893135,1,9,0,0.9,73.1
1789800731.9022627,1,9,0,1.2,73.1
1789800732.9105575,1,9,0,0.7,73.1
1789800733.919137,1,9,0,0.7,73.1
1789800734.927481,1,9,0,0.7,73.1
1789800735.936105,1,9,0,0.9,73.1
1789800736.9443521,1,9,0,0.9,73.1
1789800737.9529014,1,9,0,1.5,73.3
1789800738.9611695,1,9,0,0.6,73.3
1789800739.9698553,11,0,20,2.0,73.4
1789800741.524442,11,2,20,2.1,73.4
1789800742.533144,11,6,20,0.8,73.3
1789800743.5420032,11,6,20,0.7,73.3
1789800744.5516207,11,6,20,0.7,73.3
1789800745.5600343,11,6,20,4.1,73.3
1789800746.5691142,11,6,20,1.2,73.3
1789800747.5779715,11,6,20,0.7,73.3
1789800748.5866423,11,6,20,0.7,73.3
1789800749.5954266,11,6,20,0.7,73.3
1789800750.6041298,11,6,20,0.8,73.3
1789800751.6129813,11,6,20,1.4,73.3
1789800752.6220295,2,15,20,0.7,73.3
1789800753.6309419,2,14,20,0.7,73.3
1789800754.6397817,2,13,20,0.7,73.3
1789800755.648479,2,12,20,0.7,73.3
1789800756.6576385,2,11,20,1.3,73.3
1789800757.6663933,2,10,20,0.8,73.3
1789800758.6750014,2,9,20,0.7,73.3
1789800759.6839476,1,9,20,0.6,73.3
1789800760.6924503,1,9,20,0.8,73.3
1789800761.701312,1,9,20,1.1,73.3
1789800762.7101398,1,9,20,0.7,73.3
1789800763.7186167,1,9,20,6.5,73.2
1789800764.7289557,1,9,20,0.7,73.1
1789800765.7376785,1,9,20,0.9,73.2
1789800766.74668,1,9,20,1.3,73.2
1789800767.7552633,1,9,20,0.7,73.2
1789800768.7642019,1,9,20,0.8,73.1
1789800769.7731645,1,9,20,0.7,73.2
1789800770.7817307,1,9,20,0.8,73.2
1789800771.7908633,1,9,20,1.2,73.2
1789800772.7998595,1,9,20,0.8,73.1
1789800773.8088403,1,9,20,0.7,73.1
1789800774.8176944,1,9,20,0.7,73.1
1789800775.8263586,1,9,20,1.0,73.1
1789800776.8350885,1,9,20,1.1,73.1
1789800777.8436003,1,9,20,0.7,73.1
1789800778.8525279,1,9,20,0.9,73.1
1789800779.8615186,1,9,20,0.7,73.1
1789800780.870319,1,9,20,1.4,73.1
1789800781.8783941,1,9,20,1.5,73.1
1789800782.8869946,1,9,20,0.7,73.1
1789800783.8958423,1,9,20,0.8,73.1
1789800784.9050188,1,9,20,0.7,73.1
1789800785.9139118,1,9,20,0.7,73.1
1789800786.923296,1,9,20,1.4,73.2
1789800787.9319115,1,9,20,31.3,73.7
1789800788.93856,1,9,20,4.4,73.7
1789800789.9465072,1,9,20,2.4,73.6
1789800790.9545293,1,9,20,2.3,73.7
1789800791.9610813,1,9,20,4.3,73.7
1789800792.9691458,1,9,20,1.7,73.7
1789800793.9774406,1,9,20,1.2,73.8
1789800794.985357,1,9,20,1.2,73.8
1789800795.9941776,1,9,20,1.7,73.8
1789800797.0025318,1,9,20,1.4,73.8
1789800798.0104918,1,9,20,1.2,73.8
1789800799.0189548,1,9,20,1.2,73.8
1789800800.0270433,1,9,10,2.4,73.7
1789800801.035129,1,9,11,2.1,73.8
1789800802.0435355,1,9,10,1.1,73.8
1789800803.0514855,1,9,10,0.8,73.8
1789800804.059435,1,9,10,0.8,73.7
1789800805.0678566,1,9,10,1.0,73.7
1789800806.0766742,1,9,10,1.4,73.7
1789800807.0850096,1,9,10,0.8,73.6
1789800808.0940242,1,9,10,0.9,73.6
1789800809.10281,1,9,10,1.0,73.6
1789800810.1118505,1,9,10,1.2,73.6
1789800811.120623,1,9,10,1.8,73.6
1789800812.1303337,1,9,10,0.8,73.6
1789800813.1392407,1,9,10,0.8,73.6
1789800814.148102,1,9,10,0.9,73.6
1789800815.156584,1,9,10,0.8,73.6
1789800816.1648545,1,9,10,1.3,73.6
1789800817.173324,1,9,10,1.1,73.6
1789800818.181579,1,9,10,1.0,73.6
1789800819.1908805,1,9,10,1.2,73.7
1789800820.1988409,1,9,10,1.1,73.7
1789800821.206735,1,9,10,1.5,73.7
1789800822.2152038,1,9,10,0.7,73.7
1789800823.2230885,1,9,10,0.8,73.7
1789800824.2294137,1,9,10,0.8,73.7
1789800825.2373946,1,9,10,0.9,73.7
1789800826.2449973,1,9,10,1.3,73.7
1789800827.2526498,1,9,10,1.2,73.7
1789800828.2612503,1,9,10,0.8,73.7
1789800829.2699556,1,9,10,0.9,73.7
