time,busy_workers,idle_workers,open_connections,cpu_pct,mem_pct
1789798972.0052397,1,9,0,12.1,70.7
1789798973.0318825,1,9,0,3.4,70.5
1789798974.0406215,1,9,0,2.1,70.5
1789798975.0491097,1,9,0,0.9,70.3
1789798976.058281,1,9,0,21.8,68.6
1789798977.065774,1,9,0,3.2,66.8
1789798978.0747914,1,9,0,1.2,66.3
1789798979.0832179,1,9,0,6.3,66.4
1789798980.0917819,1,9,0,29.0,67.7
1789798981.1004236,1,9,0,7.9,67.7
1789798982.1073315,1,9,0,6.8,67.6
1789798983.115125,1,9,0,29.3,67.6
1789798984.1206784,1,9,0,14.6,67.5
1789798985.1282842,1,9,0,3.7,67.6
1789798986.1362703,1,9,0,6.7,67.6
1789798987.142902,1,9,0,6.0,67.6
1789798988.1518714,1,9,0,9.1,67.6
1789798989.1579952,1,9,0,9.1,67.5
1789798990.1660256,1,9,0,19.0,67.8
1789798991.1739547,1,9,0,8.8,67.8
1789798992.1817324,,,104,15.4,68.2
1789798996.1933105,,,108,6.2,66.9
1789799000.2034683,,,110,7.1,66.7
1789799004.2153792,,,114,6.4,66.4
1789799008.2238996,,,118,6.0,66.5
1789799012.2357335,,,120,7.6,66.6
1789799016.2451775,,,124,18.1,67.9
1789799020.25728,,,128,5.1,67.7
1789799024.2689536,,,130,4.6,67.7
1789799028.2809224,,,134,2.3,67.6
1789799032.293284,,,138,2.1,67.0
1789799036.3059475,,,140,3.0,66.8
1789799040.3155375,,,144,5.4,66.7
1789799044.3273172,,,148,12.8,68.7
1789799048.3385715,,,150,22.3,70.9
1789799052.3535712,1,29,0,36.4,69.4
1789799053.3601153,2,28,0,28.5,69.3
1789799054.3681,2,27,0,37.4,68.4
1789799055.375494,2,26,0,15.9,68.4
1789799056.3832016,2,24,0,7.8,68.2
1789799057.3905683,2,23,0,9.6,68.0
1789799058.3983617,2,22,0,17.4,68.4
1789799059.4117444,2,21,0,6.9,68.3
1789799060.4195597,2,20,0,4.4,68.2
1789799061.4272265,2,19,0,1.5,68.1
1789799062.434978,2,18,0,8.8,68.1
1789799063.4411182,2,17,0,10.9,67.9
1789799064.450304,2,16,0,26.8,67.9
1789799065.4574776,2,15,0,10.1,67.9
1789799066.4634697,2,14,0,24.1,67.9
1789799067.4705267,2,13,0,12.5,67.8
1789799068.4786353,2,12,0,15.3,68.3
1789799069.4853961,2,11,0,12.9,68.2
1789799070.4929729,2,10,0,23.7,69.1
1789799071.5064735,2,9,0,31.8,69.6
1789799072.513596,1,9,0,6.7,69.5
1789799073.5232654,1,9,0,17.4,70.0
1789799074.5361066,1,9,0,28.1,69.6
1789799075.5433705,1,9,0,16.1,69.6
1789799076.5513222,1,9,0,12.4,69.5
1789799077.5595744,1,9,0,2.1,69.6
1789799078.5671659,1,9,0,6.1,69.5
1789799079.5746818,1,9,0,15.7,69.8
1789799080.5817478,1,9,0,33.7,70.0
1789799081.589634,1,9,0,24.1,70.4
