time,status,latency_seconds,status_code
1789798971.9876626,success,0.002,200
1789798972.989755,success,0.001,200
1789798973.9913116,success,0.001,200
1789798974.9930356,success,0.001,200
1789798975.9971595,success,0.004,200
1789798977.0012903,success,0.001,200
1789798978.0075057,success,0.001,200
1789798979.0091496,success,0.001,200
1789798980.0106127,success,0.003,200
1789798981.0140831,success,0.001,200
1789798982.0157073,success,0.001,200
1789798983.022463,success,0.001,200
1789798984.0240293,success,0.001,200
1789798985.0256743,success,0.001,200
1789798986.0271723,success,0.001,200
1789798987.0284522,success,0.001,200
1789798988.0295985,success,0.001,200
1789798989.0310225,success,0.001,200
1789798990.0376182,success,0.001,200
1789798991.039243,success,0.001,200
1789798992.0404754,failure,5.002,
1789798998.042749,failure,5.005,
1789799004.0485559,failure,5.006,
1789799010.0556426,failure,5.006,
1789799016.0623024,failure,5.006,
1789799022.068656,failure,5.006,
1789799028.075345,failure,5.006,
1789799034.082154,failure,5.005,
1789799040.0876443,failure,5.005,
1789799046.0927687,failure,5.006,
1789799052.0992033,success,0.002,200
1789799053.1013074,success,0.001,200
1789799054.1051733,success,0.004,200
1789799055.1093102,success,0.001,200
1789799056.1109104,success,0.002,200
1789799057.112844,success,0.001,200
1789799058.120484,success,0.002,200
1789799059.122532,success,0.001,200
1789799060.1243172,success,0.001,200
1789799061.125656,success,0.001,200
1789799062.127236,success,0.001,200
1789799063.1285827,success,0.001,200
1789799064.1298773,success,0.001,200
1789799065.13124,success,0.001,200
1789799066.1326394,success,0.002,200
1789799067.135162,success,0.001,200
1789799068.1361253,success,0.001,200
1789799069.1373944,success,0.001,200
1789799070.1383238,success,0.002,200
1789799071.140365,success,0.001,200
1789799072.141424,success,0.001,200
1789799073.1428974,success,0.001,200
1789799074.1442714,success,0.002,200
1789799075.1460023,success,0.001,200
1789799076.1473355,success,0.001,200
1789799077.1487658,success,0.001,200
1789799078.1502295,success,0.001,200
1789799079.1513922,success,0.001,200
1789799080.1525478,success,0.002,200
1789799081.1545467,success,0.001,200
