time,busy_workers,idle_workers,open_connections,cpu_pct,mem_pct
1789799197.2462258,1,9,0,20.0,68.6
1789799198.2769392,1,9,0,6.7,68.6
1789799199.2849455,1,9,0,10.1,68.6
1789799200.2929325,1,9,0,6.9,68.6
1789799201.2995787,1,9,0,17.1,69.9
1789799202.309221,1,9,0,37.9,71.8
1789799203.3172987,1,9,0,21.4,72.6
1789799204.3250825,1,9,0,10.2,72.6
1789799205.3337488,1,9,0,9.2,72.6
1789799206.3421748,1,9,0,3.0,72.6
1789799207.3509371,1,9,0,3.8,72.6
1789799208.359643,1,9,0,3.7,72.7
1789799209.3680046,1,9,0,2.3,72.6
1789799210.376494,1,9,0,3.2,72.6
1789799211.3848848,1,9,0,4.4,72.5
1789799212.3931766,1,9,0,2.6,72.4
1789799213.4022903,1,9,0,6.5,72.3
1789799214.4103723,1,9,0,3.3,72.3
1789799215.4186323,1,9,0,4.0,72.3
1789799216.4263124,1,9,0,9.8,72.2
1789799217.4342594,,,404,8.1,72.3
1789799221.4437335,,,408,14.4,75.2
1789799225.4573455,,,410,5.2,73.7
1789799229.4707227,,,414,3.3,73.2
1789799233.4837399,,,418,2.9,73.0
1789799237.496018,,,420,8.9,73.3
1789799241.5071278,,,424,9.3,73.1
1789799245.5205977,,,428,5.2,73.4
1789799249.5325398,,,430,3.4,72.9
1789799253.5453634,,,434,3.0,72.9
1789799257.5566561,,,438,2.8,72.9
1789799261.5702322,,,440,4.7,72.4
1789799265.5841105,,,444,18.0,73.1
1789799269.5968304,,,448,8.2,72.9
1789799273.6090293,,,450,5.9,72.8
1789799277.620541,1,29,0,21.2,72.1
1789799278.6285424,2,28,0,6.8,72.0
1789799279.6364357,2,27,0,5.7,71.9
1789799280.644428,2,26,0,3.6,71.9
1789799281.652099,2,25,0,3.5,71.9
1789799282.6596358,2,24,0,1.7,71.8
1789799283.6671875,2,22,0,5.3,71.7
1789799284.674967,2,21,0,4.6,71.7
1789799285.6839423,2,20,0,2.4,71.8
1789799286.6916287,2,19,0,2.6,71.8
1789799287.6988168,2,18,0,4.2,71.8
1789799288.706915,2,17,0,2.3,71.7
1789799289.7144573,2,16,0,2.8,71.7
1789799290.7222304,2,15,0,3.6,71.6
1789799291.730176,2,14,0,3.8,71.6
1789799292.7379527,2,13,1,2.7,71.6
1789799293.7465432,2,12,1,2.1,71.5
1789799294.754955,2,11,1,2.3,71.5
1789799295.7627494,2,10,1,3.2,71.6
1789799296.7715976,2,9,1,4.7,71.4
1789799297.7795532,1,9,1,3.6,71.4
1789799298.7878022,1,9,2,2.7,71.4
1789799299.796819,1,9,2,2.2,71.4
1789799300.80578,1,9,3,2.2,71.4
1789799301.8152006,1,9,3,3.7,71.4
1789799302.8238316,1,9,3,3.7,71.3
1789799303.8320246,1,9,0,3.4,71.4
1789799304.840193,1,9,0,2.8,71.4
1789799305.8488376,1,9,0,3.1,71.4
1789799306.8551836,1,9,0,4.1,71.4
