time,status,latency_seconds,status_code
1789729088.3320105,success,0.002,200
1789729089.334274,success,0.001,200
1789729090.335968,success,0.001,200
1789729091.337356,success,0.001,200
1789729092.3386996,success,0.001,200
1789729093.339961,success,0.001,200
1789729094.341597,success,0.001,200
1789729095.3431878,success,0.001,200
1789729096.344758,success,0.001,200
1789729097.3464684,success,0.001,200
1789729098.3478348,success,0.001,200
1789729099.3493745,success,0.001,200
1789729100.3509862,success,0.001,200
1789729101.352614,success,0.001,200
1789729102.3539906,success,0.001,200
1789729103.355552,success,0.001,200
1789729104.3571005,success,0.001,200
1789729105.3583488,success,0.001,200
1789729106.3599775,success,0.001,200
1789729107.3611228,success,0.001,200
1789729108.3623395,failure,5.004,
1789729114.366669,failure,5.006,
1789729120.3734498,failure,5.006,
1789729126.3797905,failure,5.006,
1789729132.386502,failure,5.006,
1789729138.3933465,failure,5.005,
1789729144.3988352,failure,5.006,
1789729150.4056225,failure,5.006,
1789729156.412508,failure,5.006,
1789729162.419199,failure,5.006,
1789729168.4254904,success,0.001,200
1789729169.4267635,success,0.001,200
1789729170.4284556,success,0.001,200
1789729171.4300547,success,0.001,200
1789729172.4318738,success,0.001,200
1789729173.4334538,success,0.001,200
1789729174.4351,success,0.001,200
1789729175.4369895,success,0.001,200
1789729176.438985,success,0.001,200
1789729177.4407792,success,0.001,200
1789729178.4424474,success,0.001,200
1789729179.4441934,success,0.001,200
1789729180.4459872,success,0.001,200
1789729181.4478333,success,0.001,200
1789729182.4544332,success,0.001,200
1789729183.4560022,success,0.001,200
1789729184.457564,success,0.001,200
1789729185.458965,success,0.001,200
1789729186.460629,success,0.001,200
1789729187.462595,success,0.001,200
1789729188.4642122,success,0.001,200
1789729189.465781,success,0.001,200
1789729190.4670463,success,0.001,200
1789729191.4686687,success,0.001,200
1789729192.4703913,success,0.002,200
1789729193.4726639,success,0.001,200
1789729194.474383,success,0.001,200
1789729195.475778,success,0.001,200
1789729196.4773283,success,0.001,200
1789729197.4787312,success,0.001,200
